City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Albany,US,2022-05-23 00:04:24,42.6001,-73.9662,68.59,89,94,1.01
110,Grand Gaube,MU,2022-05-23 00:04:48,-20.0064,57.6608,71.38,79,3,3.0
111,Mahebourg,MU,2022-05-23 00:09:24,-20.4081,57.7,71.26,71,8,12.84
112,Ayagoz,KZ,2022-05-23 00:09:24,47.9714,80.4392,51.4,70,100,12.5
113,Bethel,US,2022-05-23 00:09:24,41.3712,-73.414,78.67,82,75,17.27
114,Hobart,AU,2022-05-23 00:09:24,-42.8794,147.3294,54.27,86,20,11.5
115,Alice Springs,AU,2022-05-23 00:09:25,-23.7,133.8833,58.55,58,22,0.0
116,Santa Fe,AR,2022-05-23 00:04:26,-31.6333,-60.7,63.01,76,31,3.0
117,Wanning,CN,2022-05-23 00:09:25,18.8003,110.3967,81.43,86,100,5.17
118,Cape Town,ZA,2022-05-23 00:06:03,-33.9258,18.4232,62.38,84,64,1.99
119,Singuilucan,MX,2022-05-23 00:09:25,19.9667,-98.5167,64.92,55,48,15.93
120,Riyadh,SA,2022-05-23 00:04:27,24.6877,46.7219,84.34,9,0,6.4
121,Charlottesville,US,2022-05-23 00:05:21,38.0293,-78.4767,74.41,93,0,3.44
122,Srednekolymsk,RU,2022-05-23 00:09:25,67.45,153.6833,56.62,38,80,12.01
123,Ahtopol,BG,2022-05-23 00:09:26,42.1,27.95,57.78,78,7,4.12
124,Fortuna,US,2022-05-23 00:09:26,40.5982,-124.1573,59.94,84,75,14.97
125,Shobara,JP,2022-05-23 00:09:26,34.85,133.0167,70.81,47,6,5.06
126,Toamasina,MG,2022-05-23 00:09:26,-18.1667,49.3833,70.32,90,27,4.5
127,Vaini,TO,2022-05-23 00:09:27,-21.2,-175.2,77.23,84,29,15.66
128,Provideniya,RU,2022-05-23 00:09:27,64.3833,-173.3,51.91,58,0,15.99
129,Dwarka,IN,2022-05-23 00:09:27,22.2394,68.9678,83.1,77,83,23.76
130,La Ronge,CA,2022-05-23 00:09:27,55.1001,-105.2842,58.84,31,99,12.03
131,Torbay,CA,2022-05-23 00:09:28,47.6666,-52.7314,54.75,66,93,10.85
132,Mayakonda,IN,2022-05-23 00:09:28,14.2833,76.0833,71.47,85,68,13.76
133,College,US,2022-05-23 00:09:28,64.8569,-147.8028,66.29,26,40,10.36
134,Ibra,OM,2022-05-23 00:09:28,22.6906,58.5334,81.7,49,0,4.85
135,Cockburn Town,TC,2022-05-23 00:09:29,21.4612,-71.1419,79.54,79,2,20.6
136,Daru,PG,2022-05-23 00:05:43,-9.0763,143.2092,82.6,78,47,13.33
137,Te Anau,NZ,2022-05-23 00:09:29,-45.4167,167.7167,47.3,75,14,1.5
138,Victoria,HK,2022-05-23 00:05:15,22.2855,114.1577,76.96,93,96,18.99
139,Xiongyue,CN,2022-05-23 00:09:29,40.1774,122.1228,73.78,47,68,11.54
140,Merauke,ID,2022-05-23 00:09:29,-8.4667,140.3333,83.08,72,22,12.33
141,Airai,TL,2022-05-23 00:09:30,-8.9266,125.4092,66.87,66,45,4.47
142,Leua,SK,2022-05-23 00:09:30,48.2156,18.6071,52.45,78,28,5.12
143,Shanghai,CN,2022-05-23 00:05:16,31.2222,121.4581,70.88,73,0,13.42
144,Poum,NC,2022-05-23 00:09:30,-20.2333,164.0167,79.18,80,3,11.83
145,Tiksi,RU,2022-05-23 00:09:30,71.6872,128.8694,30.72,90,70,4.59
146,Ronne,DK,2022-05-23 00:09:31,55.1009,14.7066,44.51,100,15,3.44
147,Conde,BR,2022-05-23 00:09:31,-7.2597,-34.9075,74.66,100,100,3.44
148,Nanortalik,GL,2022-05-23 00:09:31,60.1432,-45.2371,35.17,92,93,8.93
149,Palauig,PH,2022-05-23 00:09:31,15.435,119.9045,81.99,80,100,10.65
150,Bereda,ES,2022-05-23 00:09:32,43.2686,-7.5406,59.41,99,96,2.73
151,Zhenhai,CN,2022-05-23 00:09:33,24.2582,118.0905,72.09,87,96,7.02
152,Caravelas,BR,2022-05-23 00:09:33,-17.7125,-39.2481,69.58,80,15,6.78
153,Bambanglipuro,ID,2022-05-23 00:04:52,-7.95,110.2833,78.21,83,55,4.72
154,Norman Wells,CA,2022-05-23 00:09:33,65.282,-126.8329,47.89,50,100,4.79
155,Hermanus,ZA,2022-05-23 00:08:20,-34.4187,19.2345,58.98,83,62,7.49
156,Kazachinskoye,RU,2022-05-23 00:09:34,57.6953,93.2761,54.48,64,13,5.41
157,Victoria Point,AU,2022-05-23 00:09:34,-27.5833,153.3,70.18,85,98,7.0
158,Faanui,PF,2022-05-23 00:09:34,-16.4833,-151.75,81.07,69,10,14.41
159,Pampa,US,2022-05-23 00:09:34,35.5362,-100.9599,71.56,26,0,13.8
160,Byron Bay,AU,2022-05-23 00:09:35,-28.65,153.6167,61.72,83,84,11.25
161,Gat,IL,2022-05-23 00:09:35,31.61,34.7642,66.4,100,1,9.78
162,Biak,ID,2022-05-23 00:09:35,-0.9131,122.8766,79.36,75,95,5.06
163,Arraial Do Cabo,BR,2022-05-23 00:09:35,-22.9661,-42.0278,71.26,71,1,15.32
164,Charters Towers,AU,2022-05-23 00:09:36,-20.1,146.2667,70.5,70,88,11.5
165,Colares,PT,2022-05-23 00:09:36,38.7992,-9.4469,64.29,76,82,25.01
166,Vila Velha,BR,2022-05-23 00:09:36,-20.3297,-40.2925,70.9,71,71,1.3
167,Kaitangata,NZ,2022-05-23 00:09:36,-46.2817,169.8464,50.16,70,95,16.62
168,Marolambo,MG,2022-05-23 00:09:37,-20.05,48.1167,61.43,99,18,1.97
169,Nurota,UZ,2022-05-23 00:09:37,40.5614,65.6886,58.08,40,1,5.95
170,Georgetown,MY,2022-05-23 00:05:40,5.4112,100.3354,80.53,89,20,0.0
171,Lasa,IT,2022-05-23 00:09:37,46.6166,10.7002,55.36,83,100,2.35
172,Jalu,LY,2022-05-23 00:09:37,29.0331,21.5482,69.84,31,0,7.07
173,Longyearbyen,SJ,2022-05-23 00:09:38,78.2186,15.6401,35.44,87,75,2.3
174,Bellingham,US,2022-05-23 00:07:17,48.7595,-122.4882,72.48,54,0,4.61
175,Esso,RU,2022-05-23 00:09:38,55.9333,158.7,39.85,100,85,3.69
176,Bousso,TD,2022-05-23 00:09:38,10.4795,16.7117,89.46,33,85,0.67
177,Yellowknife,CA,2022-05-23 00:09:38,62.456,-114.3525,37.56,64,100,8.01
178,Marovoay,MG,2022-05-23 00:09:39,-16.1,46.6333,75.09,64,93,4.59
179,Mgandu,TZ,2022-05-23 00:09:39,-5.95,34.1333,59.67,70,46,3.76
180,Verkhoyansk,RU,2022-05-23 00:09:39,67.5447,133.385,48.54,65,50,3.83
181,Butaritari,KI,2022-05-23 00:09:39,3.0707,172.7902,82.15,78,53,12.62
182,Mansa,IN,2022-05-23 00:09:39,29.9833,75.3833,84.79,34,52,16.24
183,San Isidro,PE,2022-05-23 00:04:51,-12.1167,-77.05,66.02,76,100,5.75
184,Marawi,PH,2022-05-23 00:09:40,7.9986,124.2928,71.51,90,100,1.66
185,Angoche,MZ,2022-05-23 00:05:34,-16.2325,39.9086,73.9,87,0,5.35
186,Port Shepstone,ZA,2022-05-23 00:07:32,-30.7414,30.455,61.79,76,86,8.37
187,Santa Maria,BR,2022-05-23 00:09:40,-29.6842,-53.8069,52.97,92,41,4.45
188,Hervey Bay,AU,2022-05-23 00:09:40,-25.2986,152.8535,71.02,80,99,5.01
189,Coihaique,CL,2022-05-23 00:09:40,-45.5752,-72.0662,35.55,87,100,5.75
190,Hobyo,SO,2022-05-23 00:06:15,5.3505,48.5268,80.28,81,90,27.31
191,Buala,SB,2022-05-23 00:09:41,-8.145,159.5921,85.14,69,22,4.97
192,Forbes,AU,2022-05-23 00:09:41,-33.3833,148.0167,65.91,68,24,9.6
193,Laizhou,CN,2022-05-23 00:09:41,37.1717,119.9214,78.8,37,18,6.93
194,Herat,AF,2022-05-23 00:09:41,34.5,62.0,50.63,53,1,8.7
195,Pisco,PE,2022-05-23 00:09:42,-13.7,-76.2167,66.02,88,75,6.91
196,Lazarev,RU,2022-05-23 00:09:42,52.225,141.5131,33.6,91,100,5.17
197,Leningradskiy,RU,2022-05-23 00:09:42,69.3833,178.4167,37.33,91,96,4.59
198,Port Elizabeth,ZA,2022-05-23 00:09:42,-33.918,25.5701,57.97,82,97,3.67
199,Beringovskiy,RU,2022-05-23 00:09:43,63.05,179.3167,42.6,73,96,10.8
200,Shimoda,JP,2022-05-23 00:09:43,34.6667,138.95,66.56,72,7,4.63
201,Ancud,CL,2022-05-23 00:09:43,-41.8697,-73.8203,47.79,73,20,16.28
202,Muros,ES,2022-05-23 00:09:43,42.7762,-9.0603,59.68,92,35,2.13
203,Wyndham,US,2022-05-23 00:09:44,37.6985,-77.6125,84.11,62,40,12.66
204,Tautira,PF,2022-05-23 00:09:44,-17.7333,-149.15,79.65,74,22,12.17
205,Innisfail,AU,2022-05-23 00:09:44,-17.5333,146.0333,75.81,79,88,8.12
206,Imeni Poliny Osipenko,RU,2022-05-23 00:09:44,52.4201,136.4853,46.13,59,79,5.95
207,Hearst,CA,2022-05-23 00:05:02,49.6835,-83.6665,46.54,53,98,5.84
208,Beruwala,LK,2022-05-23 00:09:45,6.4788,79.9828,79.63,85,63,9.57
