City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Torbay,CA,47.6666,-52.7314,53.76,66,100,10.94,overcast clouds
192,Talnakh,RU,69.4865,88.3972,33.21,100,100,5.66,overcast clouds
193,Manuk Mangkaw,PH,4.8,119.85,80.65,77,100,3.8,moderate rain
194,Dosso,NE,13.049,3.1937,83.32,57,100,9.19,light rain
195,Laguna,US,38.421,-121.4238,91.11,15,40,3.0,scattered clouds
196,Cartagena,CO,10.3997,-75.5144,80.38,85,0,16.02,clear sky
197,Nome,US,64.5011,-165.4064,67.15,31,100,6.06,overcast clouds
198,Ahipara,NZ,-35.1667,173.1667,62.26,69,100,11.68,overcast clouds
199,Morwell,AU,-38.2333,146.4,55.4,64,0,2.57,clear sky
200,Makinsk,KZ,52.6292,70.4169,46.2,63,49,12.64,scattered clouds
201,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,80,100,8.05,overcast clouds
202,Najran,SA,17.4924,44.1277,73.56,15,0,1.68,clear sky
203,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.52,78,2,2.08,clear sky
204,Wabag,PG,-5.4781,143.7021,70.9,52,16,4.5,few clouds
205,Juan Aldama,MX,24.2908,-103.3944,84.13,9,4,1.48,clear sky
206,Smolenka,RU,52.1352,113.4974,59.07,47,20,4.47,few clouds
207,Korla,CN,41.7597,86.1469,78.71,21,100,13.67,overcast clouds
208,Canton,CN,23.1167,113.25,76.87,81,100,7.58,overcast clouds
209,Champerico,GT,14.3,-91.9167,82.6,76,45,4.79,scattered clouds
210,Carnarvon,AU,-24.8667,113.6333,71.49,55,30,15.37,scattered clouds
211,Ulaangom,MN,49.9811,92.0667,75.45,23,19,16.24,few clouds
212,Dauriya,RU,49.9333,116.8667,63.75,40,100,15.46,overcast clouds
213,Rio Brilhante,BR,-21.8019,-54.5464,59.99,51,100,5.32,overcast clouds
214,Zheleznodorozhnyy,RU,55.7503,38.0042,34.32,77,80,5.91,broken clouds
215,Kargasok,RU,59.0556,80.8572,48.25,84,100,8.28,moderate rain
216,Geraldton,AU,-28.7667,114.6,64.81,82,75,17.27,broken clouds
217,Oktyabrskiy,RU,54.4815,53.471,40.75,93,100,1.05,overcast clouds
218,Hasaki,JP,35.7333,140.8333,66.29,79,62,11.39,broken clouds
219,Kalianget,ID,-7.05,113.9333,84.43,69,21,15.99,few clouds
220,Xinmin,CN,41.9908,122.8253,79.39,36,22,13.18,few clouds
221,Matay,EG,28.419,30.7792,68.61,44,0,7.18,clear sky
222,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,100,8.95,overcast clouds
223,San Isidro,PE,-12.1167,-77.05,65.01,80,100,5.75,mist
224,Pevek,RU,69.7008,170.3133,35.94,90,50,7.63,scattered clouds
225,Byron Bay,AU,-28.65,153.6167,61.72,80,100,11.07,light rain
226,Den Helder,NL,52.9599,4.7593,60.98,70,100,11.99,overcast clouds
227,Constitucion,CL,-35.3333,-72.4167,51.91,92,100,10.96,overcast clouds
228,Buin,CL,-33.7333,-70.75,65.12,47,100,2.71,light rain
229,Visby,SE,57.6409,18.296,32.22,93,100,1.14,fog
230,Turukhansk,RU,65.8167,87.9833,57.96,61,64,8.75,broken clouds
231,Victoria,HK,22.2855,114.1577,80.19,91,100,20.0,overcast clouds
