City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Diffa,NE,84.15,clear sky,13.3154,12.6113,ProDAF/Diffa
285,Istmina,CO,75.0,moderate rain,5.1605,-76.684,Hotel La Gran Estación Istmina
286,Lorengau,PG,85.93,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
287,Tarauaca,BR,71.26,scattered clouds,-8.1614,-70.7656,Flat Temporada
288,Inhambane,MZ,67.78,moderate rain,-23.865,35.3833,Oceano
289,Srandakan,ID,80.91,overcast clouds,-7.9386,110.2506,Puri Brata
290,Atambua,ID,82.2,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
291,Camana,PE,65.32,broken clouds,-16.6228,-72.7111,Hostal Morales
292,Bathsheba,BB,79.48,overcast clouds,13.2167,-59.5167,Atlantis Hotel
293,Caravelas,BR,69.26,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
294,Lompoc,US,70.79,few clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
297,Salinopolis,BR,77.94,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
301,Loandjili,CG,73.98,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
302,Karratha,AU,73.08,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
303,Calabazar De Sagua,CU,77.86,overcast clouds,22.6447,-79.8961,Hostal La Terraza
304,Xuanwu,CN,78.94,clear sky,32.069,118.8138,东方珍珠饭店
305,Maragogi,BR,76.23,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
312,Morant Bay,JM,81.72,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
314,Datong,CN,71.02,broken clouds,40.0936,113.2914,Holiday Inn Datong City Centre
315,Xingcheng,CN,72.61,scattered clouds,40.6167,120.7167,New Century Hotel
316,Brownwood,US,79.92,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
317,Xiongyue,CN,76.6,clear sky,40.1774,122.1228,Samsung Business Hotel
325,Statesboro,US,71.13,light rain,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
327,Pacific Grove,US,69.87,clear sky,36.6177,-121.9166,Lovers Point Inn
332,Tchollire,CM,80.65,broken clouds,8.4022,14.1698,"Auberge ""l'amicale"""
335,Shingu,JP,75.78,overcast clouds,33.7333,135.9833,Shingu UI Hotel
337,Vanimo,PG,85.78,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
339,Ciudad Bolivar,VE,77.74,overcast clouds,8.1222,-63.5497,Hotel Edi
342,Capitao Poco,BR,72.1,heavy intensity rain,-1.7464,-47.0594,Hotel New Tokyo
344,Houma,US,80.6,broken clouds,29.5958,-90.7195,Courtyard by Marriott Houma
347,Buraydah,SA,85.55,clear sky,26.326,43.975,Mövenpick Qassim
348,Le Port,RE,71.6,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
349,Rania,IN,86.95,few clouds,29.5333,74.8333,Josan farm rania
352,Kenai,US,71.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
353,Pitimbu,BR,76.62,light rain,-7.4706,-34.8086,Reserva do Abiaí
354,Biak,ID,80.89,broken clouds,-0.9131,122.8766,Penginapan Kim
355,Kupang,ID,84.51,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
356,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
360,Hervey Bay,AU,72.01,light rain,-25.2986,152.8535,Shelly Bay Resort
361,Zhangzhou,CN,74.21,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
362,San Patricio,US,82.49,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
363,Sao Joao Da Barra,BR,69.96,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
365,Hovd,MN,71.35,few clouds,48.0056,91.6419,Hotel Khovd
367,Quartucciu,IT,68.0,clear sky,39.2519,9.1794,Best Western Hotel Residence Italia
369,Kutum,SD,73.06,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
370,Lazaro Cardenas,MX,79.59,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
371,Kununurra,AU,82.38,broken clouds,-15.7667,128.7333,Hotel Kununurra
372,Chicama,PE,66.31,clear sky,-7.8447,-79.1469,Balihai Bungalows
373,Akyab,MM,80.15,heavy intensity rain,20.15,92.9,Hotel Memory
374,San Pedro De Los Naranjos,MX,82.53,overcast clouds,20.25,-100.9833,Antiguo Molino
376,Fallon,US,75.45,broken clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
378,Banda Aceh,ID,81.82,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
379,Eyl,SO,80.89,overcast clouds,7.9803,49.8164,Amiin Hotel
384,Dhidhdhoo,MV,83.62,broken clouds,6.8833,73.1,Dhidhoo beach
385,Laureles,US,80.58,few clouds,26.1092,-97.4941,Los Fresnos Inn
389,Dakoro,NE,83.44,overcast clouds,14.5106,6.765,Shagon mai liverpool
390,Cockburn Town,TC,79.66,clear sky,21.4612,-71.1419,Osprey Beach Hotel
392,Gizo,SB,84.11,few clouds,-8.103,156.8419,Imagination Island
393,San Cristobal,VE,66.78,clear sky,7.7669,-72.225,Pirineos
394,Tura,IN,76.01,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
398,Fukiage,JP,69.91,overcast clouds,36.1,139.45,湯本天然温泉ホテル
402,Pangkalanbuun,ID,81.21,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
403,Domoni,KM,76.89,light rain,-12.2569,44.5319,Al Djadid
405,Tabuk,PH,81.36,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
407,Yaring,TH,82.29,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
410,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
411,Havelock,US,75.96,overcast clouds,34.8791,-76.9013,Sherwood Motel
413,Hirara,JP,77.5,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
414,Chaihe,CN,70.05,overcast clouds,44.7667,129.7,Fengyuan Hotel
415,Tatawin,TN,73.27,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
416,Alappuzha,IN,77.54,overcast clouds,9.49,76.3264,Panoramic Sea Resort
418,Veraval,IN,84.25,overcast clouds,20.9,70.3667,Lords Inn Somnath
420,Honiara,SB,87.42,few clouds,-9.4333,159.95,Heritage Park Hotel
421,Kindu,CD,68.68,light rain,-2.95,25.95,Résidence Okanda
422,Nador,MA,68.25,clear sky,35.174,-2.9287,Hôtel La Giralda
423,Tomatlan,MX,80.19,clear sky,19.9333,-105.25,El Salvial
424,Kulhudhuffushi,MV,83.55,broken clouds,6.6221,73.07,Haajy Guest House 1
425,Half Moon Bay,US,80.58,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
427,Mastic Beach,US,74.77,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
429,Ormara,PK,86.05,clear sky,25.2088,64.6357,Kenara Colony house for Rent
430,Atoyac,MX,85.55,broken clouds,20.0167,-103.5333,OYO Hotel Del Portal
433,Roebourne,AU,73.81,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
434,Samana,DO,76.93,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
437,Katsuura,JP,66.15,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
438,Kawalu,ID,78.75,overcast clouds,-7.3817,108.2082,West Jontor
